School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
Pennsylvania State University,State College,Pennsylvania,Big Ten Conference,D1,,,,,
Rutgers University–New Brunswick,New Brunswick,New Jersey,Big Ten Conference,D1,0.6986,1253.0,32022.0,-74.446251,40.498769
University of Wisconsin–Madison,Madison,Wisconsin,Big Ten Conference,D1,0.5725,1364.0,26393.0,-89.404098,43.075409
California Polytechnic State University,San Luis Obispo,California,Big West Conference,D1,,,,,
"California State University, Bakersfield",Bakersfield,California,Big West Conference,D1,0.7838,,18661.0,-119.104711,35.350005
"California State University, Fullerton",Fullerton,California,Big West Conference,D1,0.6762,1085.0,17791.0,-117.885446,33.881506
"California State University, Northridge","Northridge, Los Angeles",California,Big West Conference,D1,0.6581,1006.0,19794.0,-118.529319,34.240126
"California State University, Sacramento",Sacramento,California,Big West Conference,D1,0.8309,1033.0,21576.0,-121.423549,38.559415
"University of California, Davis",Davis,California,Big West Conference,D1,0.4635,1299.0,35532.0,-121.749567,38.539667
"University of California, Irvine",Irvine,California,Big West Conference,D1,0.2992,1339.0,34355.0,-117.841248,33.648434
"University of California, Riverside",Riverside,California,Big West Conference,D1,0.6578,1200.0,30561.0,-117.32741,33.97246
"University of California, San Diego","La Jolla, San Diego",California,Big West Conference,D1,0.3661,1387.0,33240.0,-117.235866,32.877749
"University of California, Santa Barbara",Santa Barbara,California,Big West Conference,D1,0.367,1369.0,36492.0,-119.846426,34.416297
College of Charleston,Charleston,South Carolina,Colonial Athletic Association,D1,0.7432,1175.0,29545.0,-79.939794,32.784225
University of Delaware,Newark,Delaware,Colonial Athletic Association,D1,0.6599,1254.0,28708.0,-75.752822,39.679577
Drexel University,Philadelphia,Pennsylvania,Colonial Athletic Association,D1,0.7719,1287.0,69397.0,-75.190051,39.955217
Elon University,Elon,North Carolina,Colonial Athletic Association,D1,0.717,1258.0,52587.0,-79.50344,36.104148
Hofstra University,Hempstead,New York,Colonial Athletic Association,D1,0.6911,,62917.0,-73.60078,40.715959
Monmouth University,West Long Branch,New Jersey,Colonial Athletic Association,D1,0.7893,1130.0,55898.0,-74.006447,40.280066
