School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
Massachusetts Institute of Technology,Cambridge,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.0726,1550,73160,-71.093226,42.359243
Massachusetts Maritime Academy,Buzzards Bay,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,0.9248,1117,28602,-70.624084,41.739072
Medaille College,Buffalo,New York,Empire 8,D3,0.718,,36840,-78.855941,42.92856
Medgar Evers College,Brooklyn,New York,City University of New York Athletic Conference,D3,0.7848,,15448,-73.957076,40.666256
Middlebury College,Middlebury,Vermont,New England Small College Athletic Conference,D3,0.2204,1444,74248,-73.176068,44.009117
Mount Holyoke College,South Hadley,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.5247,1367,69578,-72.575511,42.256838
Mount Saint Mary College,Newburgh,New York,Skyline Conference,D3,0.9017,1080,47103,-74.012655,41.513872
College of Mount Saint Vincent,The Bronx,New York,Skyline Conference,D3,0.9268,1002,51240,-73.908887,40.913657
Nazareth College,Pittsford,New York,Empire 8,D3,0.7568,,51405,-77.518579,43.101576
New England College,Henniker,New Hampshire,New England Collegiate Conference(Great Northeast Athletic Conference in 2023),D3,0.9625,,57285,-71.822282,43.176403
University of New England,Biddeford,Maine,Commonwealth Coast Conference,D3,0.8726,,56844,-70.38535,43.458591
State University of New York at Brockport,Brockport,New York,State University of New York Athletic Conference,D3,0.5811,1089,24340,-77.947188,43.211926
State University of New York at Canton,Canton,New York,North Atlantic Conference,D3,0.8301,1029,23026,-75.182906,44.604096
State University of New York at Cobleskill,Cobleskill,New York,North Atlantic Conference,D3,0.8,1010,25633,-74.498258,42.672534
State University of New York at Cortland,Cortland,New York,State University of New York Athletic Conference,D3,0.522,1164,25585,-76.188655,42.598022
State University of New York at Delhi,Delhi,New York,North Atlantic Conference,D3,0.6488,,24486,-74.924612,42.269859
State University of New York at Fredonia,Fredonia,New York,State University of New York Athletic Conference,D3,0.7225,1112,23327,-79.337375,42.452236
