School,City,State,Conference,Division,WikidataID,Score,School_doe,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Score_doe
University of North Carolina at Asheville,Asheville,North Carolina,Big South Conference,D1,Q7895940,100.0,University of North Carolina at Asheville,290700.0,0.7942,1185.0,20127.0,-82.565392,35.617068,100.0
Winthrop University,Rock Hill,South Carolina,Big South Conference,D1,Q8026588,100.0,Winthrop University,345600.0,0.6394,1072.0,29266.0,-81.031404,34.941515,100.0
Indiana University Bloomington,Bloomington,Indiana,Big Ten Conference,D1,Q1079140,100.0,Indiana University-Bloomington,180900.0,0.8038,1261.0,25587.0,-86.526559,39.16609,100.0
"University of Maryland, College Park",College Park,Maryland,Big Ten Conference,D1,Q503415,100.0,University of Maryland-Baltimore County,210500.0,0.6948,1255.0,25997.0,-76.711607,39.256686,100.0
"University of Maryland, College Park",College Park,Maryland,Big Ten Conference,D1,Q503415,100.0,University of Maryland-College Park,210300.0,0.5096,1391.0,27343.0,-76.944721,38.988178,100.0
University of Michigan,Ann Arbor,Michigan,Big Ten Conference,D1,Q230492,100.0,University of Michigan-Ann Arbor,232500.0,0.2611,1445.0,30926.0,-83.742769,42.275921,100.0
Michigan State University,East Lansing,Michigan,Big Ten Conference,D1,Q270222,100.0,Michigan State University,229000.0,0.7631,1216.0,28626.0,-84.476111,42.73212,100.0
Northwestern University,Evanston,Illinois,Big Ten Conference,D1,Q309350,100.0,Northwestern University,173900.0,0.0931,1505.0,78654.0,-87.679858,42.050356,100.0
Ohio State University,Columbus,Ohio,Big Ten Conference,D1,Q309331,100.0,,,,,,,,
Pennsylvania State University,State College,Pennsylvania,Big Ten Conference,D1,Q739627,100.0,The Pennsylvania State University,332900.0,0.7827,1198.0,33960.0,-77.862848,40.7965,100.0
Rutgers University–New Brunswick,New Brunswick,New Jersey,Big Ten Conference,D1,Q499451,72.0,Rutgers University-New Brunswick,262900.0,0.6986,1253.0,32022.0,-74.446251,40.498769,72.0
University of Wisconsin–Madison,Madison,Wisconsin,Big Ten Conference,D1,Q838330,100.0,University of Wisconsin-Madison,389500.0,0.5725,1364.0,26393.0,-89.404098,43.075409,100.0
California Polytechnic State University,San Luis Obispo,California,Big West Conference,D1,Q1026846,100.0,California Polytechnic State University-San Luis Obispo,114300.0,0.3843,1325.0,28927.0,-120.657311,35.299513,100.0
"California State University, Bakersfield",Bakersfield,California,Big West Conference,D1,Q1026902,100.0,California State University-Bakersfield,799300.0,0.7838,,18661.0,-119.104711,35.350005,100.0
"California State University, Fullerton",Fullerton,California,Big West Conference,D1,Q1026925,100.0,California State University-Fullerton,113700.0,0.6762,1085.0,17791.0,-117.885446,33.881506,100.0
"California State University, Northridge","Northridge, Los Angeles",California,Big West Conference,D1,Q1026939,100.0,California State University-Northridge,115300.0,0.6581,1006.0,19794.0,-118.529319,34.240126,100.0
"California State University, Sacramento",Sacramento,California,Big West Conference,D1,Q101076543,68.0,California State University-Sacramento,115000.0,0.8309,1033.0,21576.0,-121.423549,38.559415,68.0
"University of California, Davis",Davis,California,Big West Conference,D1,Q129421,100.0,University of California-Davis,131300.0,0.4635,1299.0,35532.0,-121.749567,38.539667,100.0
"University of California, Irvine",Irvine,California,Big West Conference,D1,Q868421,100.0,University of California-Irvine,131400.0,0.2992,1339.0,34355.0,-117.841248,33.648434,100.0
"University of California, Riverside",Riverside,California,Big West Conference,D1,Q1075148,100.0,University of California-Riverside,131600.0,0.6578,1200.0,30561.0,-117.32741,33.97246,100.0
"University of California, San Diego","La Jolla, San Diego",California,Big West Conference,D1,Q622664,100.0,University of California-San Diego,131700.0,0.3661,1387.0,33240.0,-117.235866,32.877749,100.0
"University of California, Santa Barbara",Santa Barbara,California,Big West Conference,D1,Q263064,100.0,University of California-Santa Barbara,132000.0,0.367,1369.0,36492.0,-119.846426,34.416297,100.0
College of Charleston,Charleston,South Carolina,Colonial Athletic Association,D1,Q4507421,100.0,College of Charleston,342800.0,0.7432,1175.0,29545.0,-79.939794,32.784225,100.0
University of Delaware,Newark,Delaware,Colonial Athletic Association,D1,Q1068072,100.0,University of Delaware,143100.0,0.6599,1254.0,28708.0,-75.752822,39.679577,100.0
Drexel University,Philadelphia,Pennsylvania,Colonial Athletic Association,D1,Q603034,100.0,Drexel University,325600.0,0.7719,1287.0,69397.0,-75.190051,39.955217,100.0
Drexel University,Philadelphia,Pennsylvania,Colonial Athletic Association,D1,Q603034,100.0,Pennsylvania Institute of Technology,1099800.0,,,20588.0,-75.38893,39.908335,70.0
Elon University,Elon,North Carolina,Colonial Athletic Association,D1,Q4568893,100.0,Elon University,292700.0,0.717,1258.0,52587.0,-79.50344,36.104148,100.0
Hofstra University,Hempstead,New York,Colonial Athletic Association,D1,Q1623314,100.0,Hofstra University,273200.0,0.6911,,62917.0,-73.60078,40.715959,100.0
Monmouth University,West Long Branch,New Jersey,Colonial Athletic Association,D1,Q922647,100.0,Monmouth University,261600.0,0.7893,1130.0,55898.0,-74.006447,40.280066,100.0
Northeastern University,Boston,Massachusetts,Colonial Athletic Association,D1,Q37548,100.0,Northeastern University,219900.0,0.2048,1492.0,73196.0,-71.088782,42.339992,100.0
Stony Brook University,Stony Brook,New York,Colonial Athletic Association,D1,Q969850,100.0,Stony Brook University,283800.0,0.4891,1337.0,26270.0,-73.12046,40.91476,100.0
University of North Carolina Wilmington,Wilmington,North Carolina,Colonial Athletic Association,D1,Q2092214,100.0,University of North Carolina Wilmington,298400.0,0.6797,1226.0,24837.0,-77.875527,34.225223,100.0
College of William & Mary,Williamsburg,Virginia,Colonial Athletic Association,D1,Q875637,100.0,William & Mary,370500.0,0.4216,1411.0,39595.0,-76.708214,37.269489,100.0
Cleveland State University,Cleveland,Ohio,Horizon League,D1,Q1100801,100.0,Cleveland State University,303200.0,0.936,1088.0,24010.0,-81.674355,41.502281,100.0
University of Detroit Mercy,Detroit,Michigan,Horizon League,D1,Q1320232,100.0,University of Detroit Mercy,232300.0,0.795,1165.0,38440.0,-83.139158,42.414222,100.0
University of Wisconsin–Green Bay,Green Bay,Wisconsin,Horizon League,D1,Q2378091,100.0,University of Wisconsin-Green Bay,389900.0,0.8982,1085.0,17509.0,-87.919973,44.532298,100.0
Indiana University – Purdue University Indianapolis,Indianapolis,Indiana,Horizon League,D1,Q1433199,100.0,Indiana University-Purdue University-Indianapolis,181300.0,0.7854,1102.0,21127.0,-86.172217,39.772948,100.0
University of Wisconsin–Milwaukee,Milwaukee,Wisconsin,Horizon League,D1,Q1755318,100.0,University of Wisconsin-Milwaukee,389600.0,0.787,1105.0,21984.0,-87.880488,43.076848,100.0
Northern Kentucky University,Highland Heights,Kentucky,Horizon League,D1,Q2001033,100.0,Northern Kentucky University,927500.0,0.8703,1144.0,17869.0,-84.463483,39.029714,100.0
Oakland University,Auburn Hills & Rochester Hills,Michigan,Horizon League,D1,Q782116,100.0,Oakland University,230700.0,0.811,1110.0,23778.0,-83.216418,42.674573,100.0
Purdue University Fort Wayne,Fort Wayne,Indiana,Horizon League,D1,Q6023669,100.0,Purdue University Fort Wayne,182800.0,0.8278,1090.0,19224.0,-85.108962,41.117278,100.0
Robert Morris University,Moon Township,Pennsylvania,Horizon League,D1,Q7347821,100.0,Robert Morris University,335900.0,0.8563,1140.0,47724.0,-80.210468,40.520415,100.0
Wright State University,Fairborn,Ohio,Horizon League,D1,Q2002085,100.0,Wright State University-Lake Campus,307801.0,0.9599,1096.0,15648.0,-84.509194,40.546074,79.0
Chicago State University,Chicago,Illinois,Independent,D1,Q915866,100.0,Chicago State University,169400.0,0.4642,887.0,21867.0,-87.609384,41.718446,100.0
University of the Incarnate Word,San Antonio & Alamo Heights,Texas,Independent,D1,Q1813761,100.0,University of the Incarnate Word,357800.0,0.9656,1046.0,45532.0,-98.46583,29.46708,100.0
Brown University,Providence,Rhode Island,Ivy League,D1,Q49114,100.0,Brown University,340100.0,0.0767,1508.0,77490.0,-71.40385,41.82617,100.0
Columbia University,New York City,New York,Ivy League,D1,Q49088,100.0,Columbia College,770700.0,,,14989.0,-120.388385,38.030367,100.0
