School,City,State,Conference,Division,StateCode,DOESchool,DOECity,DOEStateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Lev
University of Rhode Island,Kingston,Rhode Island,Atlantic 10 Conference,D1,RI,University of Rhode Island,Kingston,RI,00341400,0.7551,1183.0,30339.0,-71.527356,41.484691,0
St. Bonaventure University,Allegany,New York,Atlantic 10 Conference,D1,NY,St Bonaventure University,Saint Bonaventure,NY,00281700,0.7631,1151.0,50646.0,-78.481107,42.080191,0
Saint Joseph's University,Philadelphia,Pennsylvania,Atlantic 10 Conference,D1,PA,Saint Joseph's University,Philadelphia,PA,00336700,0.8007,1205.0,63223.0,-75.238343,39.994442,0
Saint Louis University,St. Louis,Missouri,Atlantic 10 Conference,D1,MO,Saint Louis University,Saint Louis,MO,00250600,0.5554,1299.0,61975.0,-90.2351,38.636801,0
Virginia Commonwealth University,Richmond,Virginia,Atlantic 10 Conference,D1,VA,Virginia Commonwealth University,Richmond,VA,00373500,0.906,1163.0,31983.0,-77.452697,37.54962,0
Boston College,Chestnut Hill,Massachusetts,Atlantic Coast Conference,D1,MA,Boston College,Chestnut Hill,MA,00212800,0.2638,1433.0,75872.0,-71.169242,42.336213,0
Clemson University,Clemson,South Carolina,Atlantic Coast Conference,D1,SC,Clemson University,Clemson,SC,00342500,0.6194,1327.0,32254.0,-82.835114,34.679381,0
Duke University,Durham,North Carolina,Atlantic Coast Conference,D1,NC,Duke University,Durham,NC,00292000,0.0774,1530.0,77846.0,-78.937624,36.001135,0
University of Louisville,Louisville,Kentucky,Atlantic Coast Conference,D1,KY,University of Louisville,Louisville,KY,00199900,0.6512,1198.0,28247.0,-85.760412,38.216862,0
University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,Atlantic Coast Conference,D1,NC,University of North Carolina at Chapel Hill,Chapel Hill,NC,00297400,0.25,1393.0,24220.0,-79.050969,35.911769,0
University of Notre Dame,South Bend,Indiana,Atlantic Coast Conference,D1,IN,University of Notre Dame,Notre Dame,IN,00184000,0.1899,1489.0,74172.0,-86.238959,41.703058,0
Syracuse University,Syracuse,New York,Atlantic Coast Conference,D1,NY,Syracuse University,Syracuse,NY,00288200,0.6872,,72780.0,-76.136975,43.040176,0
University of Virginia,Charlottesville,Virginia,Atlantic Coast Conference,D1,VA,University of Virginia-Main Campus,Charlottesville,VA,00374500,0.2258,1426.0,34094.0,-78.503428,38.035665,0
Virginia Polytechnic Institute and State University,Blacksburg,Virginia,Atlantic Coast Conference,D1,VA,Virginia Polytechnic Institute and State University,Blacksburg,VA,00375400,0.6577,1280.0,27283.0,-80.423675,37.229012,0
Wake Forest University,Winston-Salem,North Carolina,Atlantic Coast Conference,D1,NC,Wake Forest University,Winston-Salem,NC,00297800,0.3198,,74135.0,-80.277446,36.133609,0
University of Akron,Akron,Ohio,Big East Conference,D1,OH,University of Akron Main Campus,Akron,OH,00312300,0.7366,1113.0,24604.0,-81.511679,41.078551,0
Butler University,Indianapolis,Indiana,Big East Conference,D1,IN,Butler University,Indianapolis,IN,00178800,0.7569,1265.0,61623.0,-86.172167,39.8374,0
Creighton University,Omaha,Nebraska,Big East Conference,D1,NE,Creighton University,Omaha,NE,00254200,0.6402,,56120.0,-95.947811,41.265361,0
DePaul University,Chicago,Illinois,Big East Conference,D1,IL,DePaul University,Chicago,IL,00167100,0.7024,,57122.0,-87.62724,41.877618,0
Georgetown University,Washington,District of Columbia,Big East Conference,D1,DC,Georgetown University,Washington,DC,00144500,0.1681,1473.0,76280.0,-77.073463,38.908809,0
Marquette University,Milwaukee,Wisconsin,Big East Conference,D1,WI,Marquette University,Milwaukee,WI,00386300,0.8249,1285.0,59725.0,-87.927961,43.03903,0
Providence College,Providence,Rhode Island,Big East Conference,D1,RI,Providence College,Providence,RI,00340600,0.5386,1301.0,69407.0,-71.437446,41.842742,0
Seton Hall University,South Orange,New Jersey,Big East Conference,D1,NJ,Seton Hall University,South Orange,NJ,00263200,0.7823,1244.0,60646.0,-74.246027,40.742336,0
University of Connecticut,Storrs,Connecticut,Big East Conference,D1,CT,University of Connecticut,Storrs,CT,00141700,0.6379,1222.0,33896.0,-72.249948,41.809098,0
Villanova University,Radnor Township,Pennsylvania,Big East Conference,D1,PA,Villanova University,Villanova,PA,00338800,0.3066,1406.0,73042.0,-75.345457,40.039388,0
Xavier University,Cincinnati,Ohio,Big East Conference,D1,OH,Xavier University,Cincinnati,OH,00314400,0.8122,1198.0,58260.0,-84.47465,39.149547,0
Campbell University,Buies Creek,North Carolina,Colonial Athletic Association,D1,NC,Campbell University,Buies Creek,NC,00291300,0.8129,1115.0,51131.0,-78.738238,35.409149,0
