School,City,State,Conference,Division,StateCode,DOESchool,DOECity,DOEStateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Lev
Eastern Illinois University,Charleston,Illinois,The Summit League,D1,IL,Eastern Illinois University,Charleston,IL,00167400,0.5554,1058.0,24125.0,-88.175658,39.479843,0
University of Missouri–Kansas City,Kansas City,Missouri,The Summit League,D1,MO,University of Missouri-Kansas City,Kansas City,MO,00251800,0.6301,1184.0,22897.0,-94.582141,39.034179,1
Lindenwood University,St. Charles,Missouri,The Summit League,D1,MO,Lindenwood University,Saint Charles,MO,00248000,0.9213,1111.0,30609.0,-90.501286,38.785425,0
University of Nebraska Omaha,Omaha,Nebraska,The Summit League,D1,NE,University of Nebraska at Omaha,Omaha,NE,00255400,0.8229,1115.0,19797.0,-96.008516,41.258769,0
Oral Roberts University,Tulsa,Oklahoma,The Summit League,D1,OK,Oral Roberts University,Tulsa,OK,00398500,0.7839,1133.0,44006.0,-95.952547,36.049129,0
University of St. Thomas,Saint Paul,Minnesota,The Summit League,D1,MN,University of St Thomas,Saint Paul,MN,00234500,0.874,1249.0,57785.0,-93.188986,44.943439,0
University of Southern Indiana,Evansville,Indiana,The Summit League,D1,IN,University of Southern Indiana,Evansville,IN,00180800,0.9387,1089.0,20146.0,-87.677214,37.962374,0
Western Illinois University,Macomb,Illinois,The Summit League,D1,IL,Western Illinois University,Macomb,IL,00178000,0.6696,1011.0,26287.0,-90.686899,40.468086,0
Coastal Carolina University,Conway,South Carolina,Sun Belt Conference,D1,SC,Coastal Carolina University,Conway,SC,00345100,0.7045,1108.0,24313.0,-79.011767,33.794995,0
Georgia Southern University,Statesboro,Georgia,Sun Belt Conference,D1,GA,Georgia Southern University,Statesboro,GA,00157200,0.9117,1083.0,22608.0,-81.784045,32.426153,0
Georgia State University,Atlanta,Georgia,Sun Belt Conference,D1,GA,Georgia State University,Atlanta,GA,00157400,0.8094,1147.0,27206.0,-84.38667,33.7527,0
James Madison University,Harrisonburg,Virginia,Sun Belt Conference,D1,VA,James Madison University,Harrisonburg,VA,00372100,0.8049,1207.0,27996.0,-78.870484,38.436311,0
University of Kentucky,Lexington,Kentucky,Sun Belt Conference,D1,KY,University of Kentucky,Lexington,KY,00198900,0.9636,1223.0,30178.0,-84.504747,38.038911,0
Marshall University,Huntington,West Virginia,Sun Belt Conference,D1,WV,Marshall University,Huntington,WV,00381500,0.8925,1080.0,19586.0,-82.428964,38.422482,0
Old Dominion University,Norfolk,Virginia,Sun Belt Conference,D1,VA,Old Dominion University,Norfolk,VA,00372800,0.9541,1071.0,25722.0,-76.30666,36.886418,0
West Virginia University,Morgantown,West Virginia,Sun Belt Conference,D1,WV,West Virginia University,Morgantown,WV,00382700,0.822,1145.0,22680.0,-79.954391,39.634371,0
Gonzaga University,Spokane,Washington,West Coast Conference,D1,WA,Gonzaga University,Spokane,WA,00377800,0.7289,1272.0,61761.0,-117.400625,47.666531,0
Loyola Marymount University,Los Angeles,California,West Coast Conference,D1,CA,Loyola Marymount University,Los Angeles,CA,01164900,0.5014,1320.0,70235.0,-118.415744,33.97085,0
University of the Pacific,Stockton,California,West Coast Conference,D1,CA,Pacific College,Costa Mesa,CA,03299300,0.3846,,,-117.873382,33.680043,0
University of Portland,Portland,Oregon,West Coast Conference,D1,OR,University of Portland,Portland,OR,00322400,0.7722,1233.0,64049.0,-122.726691,45.572724,0
Saint Mary's College of California,Moraga,California,West Coast Conference,D1,CA,Saint Mary's College of California,Moraga,CA,00130200,0.7731,1174.0,69071.0,-122.109031,37.840731,0
University of San Diego,San Diego,California,West Coast Conference,D1,CA,University of San Diego,San Diego,CA,01039500,0.587,,70440.0,-117.192073,32.770816,0
University of San Francisco,San Francisco,California,West Coast Conference,D1,CA,University of San Francisco,San Francisco,CA,00132500,0.703,1248.0,69987.0,-122.450477,37.776618,0
Santa Clara University,Santa Clara,California,West Coast Conference,D1,CA,Santa Clara University,Santa Clara,CA,00132600,0.5072,1367.0,74297.0,-121.93784,37.348362,0
United States Air Force Academy,Colorado Springs,Colorado,Western Athletic Conference,D1,CO,United States Air Force Academy,USAF Academy,CO,00136900,0.1343,1371.0,,-104.891358,39.010957,0
California Baptist University,Riverside,California,Western Athletic Conference,D1,CA,California Baptist University,Riverside,CA,00112500,0.8018,1064.0,48731.0,-117.425619,33.929321,0
Grand Canyon University,Phoenix,Arizona,Western Athletic Conference,D1,AZ,Grand Canyon University,Phoenix,AZ,00107400,0.8069,,31376.0,-112.129929,33.513231,0
San Jose State University,San Jose,California,Western Athletic Conference,D1,CA,San Jose State University,San Jose,CA,00115500,0.6737,1127.0,25747.0,-121.880621,37.336569,0
Seattle University,Seattle,Washington,Western Athletic Conference,D1,WA,Seattle University,Seattle,WA,00379000,0.8323,1249.0,63439.0,-122.318851,47.608859,0
"University of Nevada, Las Vegas",Paradise,Nevada,Western Athletic Conference,D1,NV,University of Nevada-Las Vegas,Las Vegas,NV,00256900,0.8102,1124.0,18756.0,-115.138462,36.106047,0
Utah Valley University,Orem,Utah,Western Athletic Conference,D1,UT,Utah Valley University,Orem,UT,00402700,,,13597.0,-111.716456,40.281078,0
University of Texas Rio Grande Valley,Edinburg,Texas,Western Athletic Conference,D1,TX,The University of Texas Rio Grande Valley,Edinburg,TX,00359900,0.8239,1034.0,14250.0,-98.173567,26.306759,0
Academy of Art University,San Francisco,California,Pacific West Conference,D2,CA,Academy of Art University,San Francisco,CA,00753100,,,43976.0,-122.400578,37.787943,0
Adams State University,Alamosa,Colorado,Rocky Mountain Athletic Conference,D2,CO,Adams State University,Alamosa,CO,00134500,0.9988,1004.0,22317.0,-105.879642,37.473636,0
Adelphi University,Garden City,New York,Northeast-10 Conference,D2,NY,Adelphi University,Garden City,NY,00266600,0.7461,1162.0,53535.0,-73.653321,40.721439,0
University of Alabama in Huntsville,Huntsville,Alabama,Gulf South Conference,D2,AL,University of Alabama in Huntsville,Huntsville,AL,00105500,0.7711,1300.0,24861.0,-86.640449,34.724557,0
Alderson Broaddus University,Philippi,West Virginia,Mountain East Conference,D2,WV,Alderson Broaddus University,Philippi,WV,00380600,0.5276,972.0,42676.0,-80.047728,39.158067,0
American International College,Springfield,Massachusetts,Northeast-10 Conference,D2,MA,American International College,Springfield,MA,00211400,0.6938,1015.0,51505.0,-72.558338,42.112346,0
Anderson University,Anderson,South Carolina,South Atlantic Conference,D2,SC,Anderson University,Anderson,SC,00341800,0.592,,44481.0,-82.640358,34.5152,0
Ashland University,Ashland,Ohio,Great Midwest Athletic Conference,D2,OH,Ashland University,Ashland,OH,00301200,0.7435,1105.0,33775.0,-82.321061,40.861755,0
Assumption University,Worcester,Massachusetts,Northeast-10 Conference,D2,MA,Assumption University,Worcester,MA,00211800,0.8092,,57238.0,-71.828991,42.294226,0
Auburn University at Montgomery,Montgomery,Alabama,Gulf South Conference,D2,AL,Auburn University at Montgomery,Montgomery,AL,00831000,0.9555,1061.0,20225.0,-86.177544,32.36736,0
Azusa Pacific University,Azusa,California,Pacific West Conference,D2,CA,Azusa Pacific University,Azusa,CA,00111700,0.936,,56802.0,-117.888375,34.130047,0
Barry University,Miami Shores,Florida,Sunshine State Conference,D2,FL,Barry University,Miami,FL,00146600,0.653,,47118.0,-80.198925,25.878908,0
Barton College,Wilson,North Carolina,Conference Carolinas,D2,NC,Barton College,Wilson,NC,00290800,0.4244,1030.0,46539.0,-77.913867,35.734376,0
Belmont Abbey College,Belmont,North Carolina,Conference Carolinas,D2,NC,Belmont Abbey College,Belmont,NC,00291000,0.801,1085.0,31943.0,-81.041315,35.260651,0
Bentley University,Waltham,Massachusetts,Northeast-10 Conference,D2,MA,Bentley University,Waltham,MA,00212400,0.5782,1281.0,71094.0,-71.222839,42.385995,0
Biola University,La Mirada,California,Pacific West Conference,D2,CA,Biola University,La Mirada,CA,00112200,0.6438,1196.0,58012.0,-118.014374,33.906203,0
Bloomfield College,Bloomfield,New Jersey,Central Atlantic Collegiate Conference,D2,NJ,Bloomfield College,Bloomfield,NJ,00259700,0.8465,889.0,43493.0,-74.194309,40.795105,0
Bloomsburg University of Pennsylvania,Bloomsburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,Bloomsburg University of Pennsylvania,Bloomsburg,PA,00331500,0.8903,,25058.0,-76.447844,41.00782,0
University of Bridgeport,Bridgeport,Connecticut,Central Atlantic Collegiate Conference,D2,CT,University of Bridgeport,Bridgeport,CT,00141600,0.7095,1026.0,53853.0,-73.190166,41.164741,0
Caldwell University,Caldwell,New Jersey,Central Atlantic Collegiate Conference,D2,NJ,Caldwell University,Caldwell,NJ,00259800,0.9152,1017.0,50245.0,-74.272571,40.832753,0
"California State Polytechnic University, Humboldt",Arcata,California,California Collegiate Athletic Association,D2,CA,California State Polytechnic University-Humboldt,Arcata,CA,00114900,0.8514,1081.0,24991.0,-124.078293,40.877481,0
"California State Polytechnic University, Pomona",Pomona,California,California Collegiate Athletic Association,D2,CA,California State Polytechnic University-Pomona,Pomona,CA,00114400,0.6481,1134.0,22365.0,-117.821476,34.057912,0
"California State University, Chico",Chico,California,California Collegiate Athletic Association,D2,CA,California State University-Chico,Chico,CA,00114600,0.9017,1073.0,25073.0,-121.844859,39.729712,0
"California State University, Dominguez Hills",Carson,California,California Collegiate Athletic Association,D2,CA,California State University-Dominguez Hills,Carson,CA,00114100,0.812,,15019.0,-118.255917,33.864766,0
"California State University, East Bay",Hayward,California,California Collegiate Athletic Association,D2,CA,California State University-East Bay,Hayward,CA,00113800,0.7328,,23357.0,-122.054135,37.657694,0
"California State University, Los Angeles",Los Angeles,California,California Collegiate Athletic Association,D2,CA,California State University-Los Angeles,Los Angeles,CA,00114000,0.7648,964.0,15307.0,-118.168965,34.066927,0
"California State University, Monterey Bay",Seaside,California,California Collegiate Athletic Association,D2,CA,California State University-Monterey Bay,Seaside,CA,03260300,0.8562,1058.0,23389.0,-121.796178,36.652397,0
"California State University, San Bernardino",San Bernardino,California,California Collegiate Athletic Association,D2,CA,California State University-San Bernardino,San Bernardino,CA,00114200,0.7812,988.0,19114.0,-117.323801,34.182622,0
California State University San Marcos,San Marcos,California,California Collegiate Athletic Association,D2,CA,California State University-San Marcos,San Marcos,CA,03011300,0.7942,1039.0,22531.0,-117.159013,33.130569,0
"California State University, Stanislaus",Turlock,California,California Collegiate Athletic Association,D2,CA,California State University-Stanislaus,Turlock,CA,00115700,0.8932,,17424.0,-120.852511,37.52577,0
Carson–Newman University,Jefferson City,Tennessee,South Atlantic Conference,D2,TN,Carson-Newman University,Jefferson City,TN,00348100,0.7932,1107.0,40422.0,-83.491709,36.122934,1
Catawba College,Salisbury,North Carolina,South Atlantic Conference,D2,NC,Catawba College,Salisbury,NC,00291400,0.5212,1038.0,44235.0,-80.482751,35.691443,0
Cedarville University,Cedarville,Ohio,Great Midwest Athletic Conference,D2,OH,Cedarville University,Cedarville,OH,00302500,0.5933,1251.0,42318.0,-83.814692,39.749237,0
University of Charleston,Charleston,West Virginia,Mountain East Conference,D2,WV,University of Charleston,Charleston,WV,00381800,0.6148,1079.0,43829.0,-81.616244,38.333367,0
Chestnut Hill College,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,D2,PA,Chestnut Hill College,Philadelphia,PA,00324500,0.7114,995.0,54599.0,-75.228742,40.08678,0
Chowan University,Murfreesboro,North Carolina,Conference Carolinas,D2,NC,Chowan University,Murfreesboro,NC,00291600,0.6736,891.0,37161.0,-77.099141,36.436258,0
Christian Brothers University,Memphis,Tennessee,Gulf South Conference,D2,TN,Christian Brothers University,Memphis,TN,00348200,0.4994,1190.0,43939.0,-89.983241,35.127437,0
Clayton State University,Morrow,Georgia,Peach Belt Conference,D2,GA,Clayton  State University,Morrow,GA,00897600,0.6854,,18374.0,-84.328174,33.594079,0
Coker University,Hartsville,South Carolina,South Atlantic Conference,D2,SC,Coker University,Hartsville,SC,00342700,0.9306,1008.0,42395.0,-80.070416,34.37696,0
Colorado Christian University,Lakewood,Colorado,Rocky Mountain Athletic Conference,D2,CO,Colorado Christian University,Lakewood,CO,00940100,,,46894.0,-105.09456,39.71388,0
Colorado Mesa University,Grand Junction,Colorado,Rocky Mountain Athletic Conference,D2,CO,Colorado Mesa University,Grand Junction,CO,00135800,0.7544,,22143.0,-108.553275,39.080643,0
Colorado School of Mines,Golden,Colorado,Rocky Mountain Athletic Conference,D2,CO,Colorado School of Mines,Golden,CO,00134800,0.5497,1372.0,36107.0,-105.223364,39.751443,0
Colorado State University–Pueblo,Pueblo,Colorado,Rocky Mountain Athletic Conference,D2,CO,Colorado State University Pueblo,Pueblo,CO,00136500,0.9431,1022.0,21950.0,-104.579033,38.30859,1
University of Colorado Colorado Springs,Colorado Springs,Colorado,Rocky Mountain Athletic Conference,D2,CO,University of Colorado Colorado Springs,Colorado Springs,CO,00450900,0.8961,,22169.0,-104.800296,38.892735,0
Concord University,Athens,West Virginia,Mountain East Conference,D2,WV,Concord University,Athens,WV,00381000,0.914,972.0,16824.0,-81.006696,37.423723,0
Concordia University–Irvine,Irvine,California,Pacific West Conference,D2,CA,Concordia University-Irvine,Irvine,CA,02070500,0.7818,1128.0,53235.0,-117.812305,33.653665,1
Converse University,Spartanburg,South Carolina,Conference Carolinas,D2,SC,Converse University,Spartanburg,SC,00343100,0.8244,1067.0,33858.0,-81.917881,34.955534,0
Daemen University,Amherst,New York,East Coast Conference,D2,NY,Daemen University,Amherst,NY,00280800,0.6178,,40900.0,-78.788111,42.965605,0
Dallas Baptist University,Dallas,Texas,Lone Star Conference,D2,TX,Dallas Baptist University,Dallas,TX,00356000,0.9858,1117.0,42855.0,-96.947006,32.710017,0
Davenport University,Grand Rapids,Michigan,Great Lakes Intercollegiate Athletic Conference,D2,MI,Davenport University,Grand Rapids,MI,00224900,0.9256,,31321.0,-85.533519,42.850013,0
Davis & Elkins College,Elkins,West Virginia,Mountain East Conference,D2,WV,Davis & Elkins College,Elkins,WV,00381100,0.6905,,42233.0,-79.846022,38.931232,0
Delta State University,Cleveland,Mississippi,Gulf South Conference,D2,MS,Delta State University,Cleveland,MS,00240300,0.9961,1063.0,20678.0,-90.735365,33.744745,0
University of the District of Columbia,Washington,District of Columbia,East Coast Conference,D2,DC,University of the District of Columbia,Washington,DC,00144100,,,22638.0,-77.066247,38.943819,0
Dominican University of California,San Rafael,California,Pacific West Conference,D2,CA,Dominican University of California,San Rafael,CA,00119600,0.8574,1162.0,67366.0,-122.512051,37.981279,0
Drury University,Springfield,Missouri,Great Lakes Valley Conference,D2,MO,Drury University,Springfield,MO,00246100,0.7068,1208.0,40913.0,-93.286192,37.219681,0
D'Youville University,Buffalo,New York,East Coast Conference,D2,NY,D'Youville College,Buffalo,NY,00271200,0.8307,1064.0,38790.0,-78.890868,42.902636,0
East Stroudsburg University of Pennsylvania,East Stroudsburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,00332000,0.905,1007.0,24870.0,-75.173905,40.99599,0
Eastern New Mexico University,Portales,New Mexico,Lone Star Conference,D2,NM,Eastern New Mexico University-Main Campus,Portales,NM,00265100,0.506,1051.0,17897.0,-103.34819,34.175592,0
Eckerd College,St. Petersburg,Florida,Sunshine State Conference,D2,FL,Eckerd College,Saint Petersburg,FL,00148700,0.6858,,63342.0,-82.687043,27.715798,0
Emmanuel College,Franklin Springs,Georgia,Conference Carolinas,D2,GA,Emmanuel College,Franklin Springs,GA,00156300,0.5275,1005.0,31589.0,-83.14822,34.283641,0
Erskine College,Due West,South Carolina,Conference Carolinas,D2,SC,Erskine College,Due West,SC,00343200,0.6,1012.0,52411.0,-82.39095,34.332087,0
Felician University,Rutherford,New Jersey,Central Atlantic Collegiate Conference,D2,NJ,Felician University,Lodi,NJ,00261000,0.9355,973.0,49240.0,-74.096452,40.867272,0
University of Findlay,Findlay,Ohio,Great Midwest Athletic Conference,D2,OH,The University of Findlay,Findlay,OH,00304500,0.7959,1144.0,47032.0,-83.652313,41.053344,0
Flagler College,St. Augustine,Florida,Peach Belt Conference,D2,FL,Flagler College,Saint Augustine,FL,00789300,0.5649,1125.0,35809.0,-81.314887,29.892733,0
Florida Southern College,Lakeland,Florida,Sunshine State Conference,D2,FL,Florida Southern College,Lakeland,FL,00148800,0.5037,1230.0,52794.0,-81.948203,28.032443,0
Florida Institute of Technology,Melbourne,Florida,Sunshine State Conference,D2,FL,Florida Institute of Technology,Melbourne,FL,00146900,0.7085,1241.0,59433.0,-80.622893,28.065815,0
Fort Hays State University,Hays,Kansas,Great American Conference,D2,KS,Fort Hays State University,Hays,KS,00191500,0.9135,,18111.0,-99.342503,38.872156,0
Fort Lewis College,Durango,Colorado,Rocky Mountain Athletic Conference,D2,CO,Fort Lewis College,Durango,CO,00135300,0.9151,1037.0,23881.0,-107.867422,37.275939,0
Francis Marion University,Florence,South Carolina,Conference Carolinas,D2,SC,Francis Marion University,Florence,SC,00922600,0.7525,990.0,21888.0,-79.652854,34.189777,0
Franklin Pierce University,Rindge,New Hampshire,Northeast-10 Conference,D2,NH,Franklin Pierce University,Rindge,NH,00257500,0.8468,,56500.0,-72.058011,42.78014,0
Fresno Pacific University,Fresno,California,Pacific West Conference,D2,CA,Fresno Pacific University,Fresno,CA,00125300,0.6694,1019.0,43317.0,-119.735199,36.726831,0
Frostburg State University,Frostburg,Maryland,Mountain East Conference,D2,MD,Frostburg State University,Frostburg,MD,00207200,0.7361,1024.0,24650.0,-78.934293,39.650918,0
Gannon University,Erie,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,Gannon University,Erie,PA,00326600,0.7924,1113.0,46867.0,-80.087166,42.128403,0
Georgia Southwestern State University,Americus,Georgia,Peach Belt Conference,D2,GA,Georgia Southwestern State University,Americus,GA,00157300,0.734,1040.0,19125.0,-84.217738,32.054662,0
Georgian Court University,Lakewood,New Jersey,Central Atlantic Collegiate Conference,D2,NJ,Georgian Court University,Lakewood,NJ,00260800,0.809,1039.0,45458.0,-74.228186,40.099617,0
Goldey–Beacom College,Pike Creek Valley,Delaware,Central Atlantic Collegiate Conference,D2,DE,Goldey-Beacom College,Wilmington,DE,00142900,0.5521,,39197.0,-75.689624,39.741501,1
Harding University,Searcy,Arkansas,Great American Conference,D2,AR,Harding University,Searcy,AR,00109700,0.5507,1207.0,31647.0,-91.726143,35.247386,0
Holy Family University,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,D2,PA,Holy Family University,Philadelphia,PA,00327500,0.777,979.0,37020.0,-74.986451,40.060581,0
University of Illinois at Springfield,Springfield,Illinois,Great Lakes Valley Conference,D2,IL,University of Illinois Springfield,Springfield,IL,00933300,0.7733,1107.0,24309.0,-89.616796,39.729524,0
University of Indianapolis,Indianapolis,Indiana,Great Lakes Valley Conference,D2,IN,University of Indianapolis,Indianapolis,IN,00180400,0.8448,1076.0,44681.0,-86.133969,39.709571,0
Kentucky Wesleyan College,Owensboro,Kentucky,Great Midwest Athletic Conference,D2,KY,Kentucky Wesleyan College,Owensboro,KY,00196900,0.6019,1083.0,40177.0,-87.119658,37.744489,0
King University,Bristol,Tennessee,Conference Carolinas,D2,TN,King University,Bristol,TN,00349600,0.6018,1097.0,42662.0,-82.159421,36.585309,0
Lake Erie College,Painesville,Ohio,Great Midwest Athletic Conference,D2,OH,Lake Erie College,Painesville,OH,00306600,0.6395,1058.0,45740.0,-81.251817,41.717841,0
Lander University,Greenwood,South Carolina,Peach Belt Conference,D2,SC,Lander University,Greenwood,SC,00343500,0.5703,1015.0,24474.0,-82.164736,34.199892,0
Le Moyne College,Syracuse,New York,Northeast-10 Conference,D2,NY,Le Moyne College,Syracuse,NY,00274800,0.7474,1165.0,49194.0,-76.090435,43.049192,0
Lee University,Cleveland,Tennessee,Gulf South Conference,D2,TN,Lee University,Cleveland,TN,00350000,0.8301,1163.0,31522.0,-84.871399,35.166019,0
Lees–McRae College,Banner Elk,North Carolina,Conference Carolinas,D2,NC,Lees-McRae College,Banner Elk,NC,00293900,0.7329,1068.0,43437.0,-81.873371,36.162477,1
Lenoir–Rhyne University,Hickory,North Carolina,South Atlantic Conference,D2,NC,Lenoir-Rhyne University,Hickory,NC,00294100,0.7662,,50232.0,-81.327598,35.739968,1
Lewis University,Romeoville,Illinois,Great Lakes Valley Conference,D2,IL,Lewis University,Romeoville,IL,00170700,0.6606,1139.0,43255.0,-88.079032,41.605432,0
Limestone University,Gaffney,South Carolina,Conference Carolinas,D2,SC,Limestone University,Gaffney,SC,00343600,0.6829,1089.0,42137.0,-81.649161,35.057076,0
Lincoln Memorial University,Harrogate,Tennessee,South Atlantic Conference,D2,TN,Lincoln Memorial University,Harrogate,TN,00350200,0.6853,1118.0,36365.0,-83.660198,36.578508,0
Lubbock Christian University,Lubbock,Texas,Lone Star Conference,D2,TX,Lubbock Christian University,Lubbock,TX,00358600,0.9651,1097.0,37198.0,-101.934426,33.575973,0
Lynn University,Boca Raton,Florida,Sunshine State Conference,D2,FL,Lynn University,Boca Raton,FL,00150500,0.7868,,55651.0,-80.122806,26.385985,0
Malone University,Canton,Ohio,Great Midwest Athletic Conference,D2,OH,Malone University,Canton,OH,00307200,0.7427,1113.0,44743.0,-81.376863,40.825662,0
Mars Hill University,Mars Hill,North Carolina,South Atlantic Conference,D2,NC,Mars Hill University,Mars Hill,NC,00294400,0.6729,,45406.0,-82.551827,35.82752,0
McKendree University,Lebanon,Illinois,Great Lakes Valley Conference,D2,IL,McKendree University,Lebanon,IL,00172200,0.7008,1107.0,44383.0,-89.816822,38.608154,0
Mercy College,Dobbs Ferry,New York,East Coast Conference,D2,NY,Mercy College,Dobbs Ferry,NY,00277200,0.8196,1025.0,29754.0,-73.874447,41.021626,0
Mercyhurst University,Erie,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,Mercyhurst University,Erie,PA,00329700,0.8802,,56266.0,-80.053412,42.10578,0
Metropolitan State University of Denver,Denver,Colorado,Rocky Mountain Athletic Conference,D2,CO,Metropolitan State University of Denver,Denver,CO,00136000,0.8333,973.0,19975.0,-105.00504,39.744202,0
Midwestern State University,Wichita Falls,Texas,Lone Star Conference,D2,TX,Midwestern State University,Wichita Falls,TX,00359200,0.7096,1009.0,19972.0,-98.519386,33.874809,0
Millersville University of Pennsylvania,Millersville,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,Millersville University of Pennsylvania,Millersville,PA,00332500,0.8455,1095.0,27526.0,-76.357381,40.000337,0
Mississippi College,Clinton,Mississippi,Gulf South Conference,D2,MS,Mississippi College,Clinton,MS,00241500,0.2876,1218.0,34918.0,-90.329821,32.335515,0
Missouri University of Science and Technology,Rolla,Missouri,Great Lakes Valley Conference,D2,MO,Missouri University of Science and Technology,Rolla,MO,00251700,0.8146,1328.0,23123.0,-91.775583,37.953426,0
University of Missouri–St. Louis,St. Louis,Missouri,Great Lakes Valley Conference,D2,MO,University of Missouri-St Louis,Saint Louis,MO,00251900,0.5759,1188.0,24481.0,-90.311091,38.710312,1
Molloy University,Rockville Centre,New York,East Coast Conference,D2,NY,Molloy College,Rockville Centre,NY,00277500,0.7414,1172.0,46531.0,-73.626183,40.685941,0
Montana State University Billings,Billings,Montana,Great Northwest Athletic Conference,D2,MT,Montana State University Billings,Billings,MT,00253000,,,16755.0,-108.523009,45.796896,0
University of Montevallo,Montevallo,Alabama,Gulf South Conference,D2,AL,University of Montevallo,Montevallo,AL,00100400,0.6052,1131.0,26018.0,-86.865099,33.10625,0
University of Mount Olive,Mount Olive,North Carolina,Conference Carolinas,D2,NC,University of Mount Olive,Mount Olive,NC,00294900,0.6191,1011.0,32055.0,-78.069388,35.208166,0
University of New Haven,West Haven,Connecticut,Northeast-10 Conference,D2,CT,University of New Haven,West Haven,CT,00139700,0.911,1147.0,58438.0,-72.961472,41.291314,0
New York Institute of Technology,Old Westbury,New York,East Coast Conference,D2,NY,New York Institute of Technology,Old Westbury,NY,00278200,0.7468,1190.0,49465.0,-73.6078,40.812447,0
Newberry College,Newberry,South Carolina,South Atlantic Conference,D2,SC,Newberry College,Newberry,SC,00344000,0.5659,989.0,42320.0,-81.619777,34.285868,0
Newman University,Wichita,Kansas,Great American Conference,D2,KS,Newman University,Wichita,KS,00193900,0.8308,,41633.0,-97.37768,37.672643,0
University of North Georgia,Dahlonega,Georgia,Peach Belt Conference,D2,GA,University of North Georgia,Dahlonega,GA,00158500,0.8145,1097.0,16816.0,-83.985694,34.530219,0
North Greenville University,Tigerville,South Carolina,Conference Carolinas,D2,SC,North Greenville University,Tigerville,SC,00344100,0.6533,1082.0,37771.0,-82.37026,35.069758,0
Northeastern State University,Tahlequah,Oklahoma,Great American Conference,D2,OK,Northeastern State University,Tahlequah,OK,00316100,0.9949,1069.0,17889.0,-94.967229,35.919939,0
Northern Michigan University,Marquette,Michigan,Great Lakes Intercollegiate Athletic Conference,D2,MI,Northern Michigan University,Marquette,MI,00230100,0.6689,,23578.0,-87.406568,46.559751,0
Northwest Nazarene University,Nampa,Idaho,Great Northwest Athletic Conference,D2,ID,Northwest Nazarene University,Nampa,ID,00162400,0.7683,1098.0,42068.0,-116.565783,43.562411,0
Northwood University,Midland,Michigan,Great Midwest Athletic Conference,D2,MI,Northwood University,Midland,MI,00407200,0.768,1093.0,41997.0,-84.27682,43.628717,0
Notre Dame College,South Euclid,Ohio,Mountain East Conference,D2,OH,Notre Dame College,Cleveland,OH,00308500,0.8743,,43425.0,-81.516617,41.506894,0
Nova Southeastern University,Davie,Florida,Sunshine State Conference,D2,FL,Nova Southeastern University,Fort Lauderdale,FL,00150900,0.7624,1145.0,50429.0,-80.24248,26.079337,0
Ohio Dominican University,Columbus,Ohio,Great Midwest Athletic Conference,D2,OH,Ohio Dominican University,Columbus,OH,00303500,0.495,,42524.0,-82.940689,39.992764,0
Oklahoma Baptist University,Shawnee,Oklahoma,Great American Conference,D2,OK,Oklahoma Baptist University,Shawnee,OK,00316400,0.5821,1138.0,42983.0,-96.932459,35.360492,0
Oklahoma Christian University,Oklahoma City,Oklahoma,Lone Star Conference,D2,OK,Oklahoma Christian University,Edmond,OK,00316500,0.6121,1162.0,37015.0,-97.469526,35.611412,0
Ouachita Baptist University,Arkadelphia,Arkansas,Great American Conference,D2,AR,Ouachita Baptist University,Arkadelphia,AR,00110200,0.6177,1203.0,40200.0,-93.052471,34.126093,0
Palm Beach Atlantic University,West Palm Beach,Florida,Sunshine State Conference,D2,FL,Palm Beach Atlantic University,West Palm Beach,FL,00884900,0.9171,1127.0,49839.0,-80.05247,26.7044,0
University of Pittsburgh at Johnstown,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,University of Pittsburgh-Johnstown,Johnstown,PA,00337902,0.6818,1290.0,27031.0,-78.834163,40.265957,0
Point Loma Nazarene University,San Diego,California,Pacific West Conference,D2,CA,Point Loma Nazarene University,San Diego,CA,00126200,0.8355,1210.0,53045.0,-117.250265,32.718391,0
Post University,Waterbury,Connecticut,Central Atlantic Collegiate Conference,D2,CT,Post University,Waterbury,CT,00140100,,,30161.0,-73.081497,41.535549,0
Purdue University Northwest,Hammond,Indiana,Great Lakes Intercollegiate Athletic Conference,D2,IN,Purdue University Northwest,Hammond,IN,00182700,0.3028,1071.0,17408.0,-87.474236,41.584324,0
Quincy University,Quincy,Illinois,Great Lakes Valley Conference,D2,IL,Quincy University,Quincy,IL,00174500,0.6713,1106.0,41831.0,-91.385975,39.938898,0
Regis University,Denver,Colorado,Rocky Mountain Athletic Conference,D2,CO,Regis University,Denver,CO,00136300,0.782,1143.0,51593.0,-105.030756,39.788175,0
Roberts Wesleyan College,North Chili,New York,East Coast Conference,D2,NY,Roberts Wesleyan College,Rochester,NY,00280500,0.7581,1146.0,45599.0,-77.798498,43.125755,0
