School,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,WikidataID,Score
Shasta School of Cosmetology,4161700.0,,,,-122.387248,40.597114,,
Salon Success Academy-Upland,720300.0,,,,-117.631783,34.108247,,
Salon Success Academy-Corona,1309500.0,,,,-117.535638,33.847649,,
Rosemead Beauty School,1294200.0,,,,-118.082793,34.080756,,
Dongguk University Los Angeles,3109500.0,,,,-118.289523,34.06597,,
San Joaquin Valley College-Visalia,2120700.0,,,,-119.384981,36.328049,,
San Joaquin Valley College-Bakersfield,2120703.0,,,,-119.062071,35.352848,,
Santa Barbara Business College-Bakersfield,2577900.0,,,20065.0,-119.061264,35.359544,,
Santa Barbara Business College-Santa Maria,2578000.0,,,21627.0,-120.433296,34.937806,,
Sierra College of Beauty,2064300.0,,,,-120.495874,37.306975,,
Charles A Jones Career and Education Center,950900.0,,,,-121.440796,38.516233,,
South Baylo University,2597300.0,,,,-117.958416,33.848291,,
Concorde Career College-Garden Grove,807100.0,0.9754,,,-117.938395,33.774741,,
Epic Bible College & Graduate School,3403300.0,,,,-121.362642,38.645152,,
United Education Institute-Huntington Park Campus,2559300.0,,,,-118.226206,33.986057,,
Concorde Career College-San Bernardino,853700.0,0.933,,,-117.283995,34.066823,,
Concorde Career College-North Hollywood,760700.0,0.9567,,,-118.403627,34.186407,,
Bridges Beauty College,2128200.0,,,,-117.303933,34.528602,,
Waynes College of Beauty,2061600.0,,,,-121.652672,36.700635,,
Carrington College-Sacramento,974800.0,,,,-121.371331,38.556151,,
The Salon Professional Academy-Grand Junction,2165200.0,,,,-108.56521,39.078114,,
Bel-Rea Institute of Animal Technology,1267000.0,0.2375,,25835.0,-104.876207,39.686194,,
University of Colorado Denver/Anschutz Medical Campus,450800.0,0.663,1123.0,22702.0,-104.837722,39.745149,,
Concorde Career College-Aurora,887100.0,0.945,,,-104.867089,39.718699,,
Colorado School of Trades,1157200.0,0.8611,,,-105.104174,39.74181,,
Technical College of the Rockies,2156200.0,,,,-108.031072,38.702524,,
Community College of Denver,954200.0,,,17261.0,-105.001044,39.741413,,
Lincoln College of Technology-Denver,793806.0,,,,-104.856171,39.77651,,
Emily Griffith Technical College,559600.0,,,,-104.985751,39.74575,,
International Salon and Spa Academy,1285000.0,,,,-104.786252,38.913621,,
Rocky Mountain College of Art and Design,764900.0,,,24570.0,-105.069911,39.74332,,
Montessori Education Center of the Rockies,3306300.0,0.8571,,,-105.241331,40.019673,,
