School,City,StateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude
Scottsdale Community College,Scottsdale,AZ,830400.0,,,15681.0,-111.885186,33.51135
South Mountain Community College,Phoenix,AZ,2146600.0,,,14737.0,-112.032635,33.382406
Arizona Christian University,Glendale,AZ,711300.0,0.7147,1031.0,44585.0,-112.181776,33.622952
Universal Technical Institute of Arizona Inc,Avondale,AZ,822100.0,,,,-112.288123,33.453005
Empire Beauty School-NW Phoenix,Phoenix,AZ,945915.0,,,,-112.118168,33.538093
Yavapai College,Prescott,AZ,107900.0,,,11934.0,-112.453395,34.547495
University of Arkansas at Little Rock,Little Rock,AR,110100.0,0.5604,1098.0,20416.0,-92.339778,34.723254
University of Arkansas for Medical Sciences,Little Rock,AR,110900.0,,,,-92.320046,34.749048
Arkansas Baptist College,Little Rock,AR,108700.0,,,22405.0,-92.290555,34.734751
Arkansas Beauty School-Little Rock,Little Rock,AR,3005100.0,,,,-92.343366,34.672171
Arkansas Beauty College,Russellville,AR,3997300.0,,,,-93.135369,35.27902
Lyon College,Batesville,AR,108800.0,0.5015,1198.0,41396.0,-91.625354,35.777619
Arkansas Technical School,North Little Rock,AR,3023400.0,,,,-92.266429,34.753843
Arthur's Beauty College,Fort Smith,AR,2363502.0,,,,-94.410967,35.379955
University of Arkansas,Fayetteville,AR,110800.0,0.7767,1236.0,23997.0,-94.176981,36.070009
University of Arkansas at Pine Bluff,Pine Bluff,AR,108600.0,0.5966,900.0,19541.0,-92.018683,34.244031
Arkansas State University-Beebe,Beebe,AR,109100.0,,,14710.0,-91.895351,35.074176
Arkansas State University,Jonesboro,AR,109000.0,0.6719,1149.0,23009.0,-90.679988,35.842388
Arkansas Tech University,Russellville,AR,108900.0,0.9766,,19361.0,-93.13562,35.293237
University of Arkansas at Monticello,Monticello,AR,108500.0,,,18822.0,-91.811153,33.590909
Arthur's Beauty College,Jacksonville,AR,2538503.0,,,,-92.102579,34.891572
Baptist Health College Little Rock,Little Rock,AR,3105200.0,0.5,1050.0,24470.0,-92.40692,34.713115
Black River Technical College,Pocahontas,AR,2052200.0,,,12970.0,-90.951033,36.239793
University of Central Arkansas,Conway,AR,109200.0,0.9378,1166.0,23185.0,-92.457672,35.077945
Central Baptist College,Conway,AR,109300.0,0.4981,1041.0,26390.0,-92.445021,35.083838
Cossatot Community College of the University of Arkansas,De Queen,AR,2220900.0,,,11154.0,-94.3673,34.043389
Crowley's Ridge College,Paragould,AR,109500.0,,,23348.0,-90.584395,36.064845
East Arkansas Community College,Forrest City,AR,1226000.0,,,12762.0,-90.767726,35.041655
Eastern College of Health Vocations-Little Rock,Little Rock,AR,2272400.0,,,,-92.341891,34.75128
Paul Mitchell the School-Little Rock,North Little Rock,AR,3124900.0,,,,-92.222202,34.789913
National Park College,Hot Springs,AR,1210500.0,,,14685.0,-93.119248,34.512687
University of Arkansas Community College-Batesville,Batesville,AR,2073500.0,,,13911.0,-91.615852,35.792923
Harding University,Searcy,AR,109700.0,0.5507,1207.0,31647.0,-91.726143,35.247386
Henderson State University,Arkadelphia,AR,109800.0,0.749,1098.0,23005.0,-93.059703,34.128155
Hendrix College,Conway,AR,109900.0,0.7054,,64046.0,-92.443256,35.101565
Hot Springs Beauty College,Hot Springs,AR,3007100.0,,,,-93.037277,34.496057
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,2330800.0,,,,-92.018045,34.187831
John Brown University,Siloam Springs,AR,110000.0,0.5886,1227.0,40774.0,-94.560283,36.189812
Career Academy of Hair Design,Springdale,AR,2341700.0,,,,-94.12947,36.167605
Academy of Salon and Spa,Fort Smith,AR,1074100.0,,,,-94.41616,35.38097
Arkansas State University Mid-South,West Memphis,AR,2348200.0,,,13473.0,-90.22285,35.145736
Arkansas Northeastern College,Blytheville,AR,1286000.0,,,10173.0,-89.921005,35.898597
New Tyler Barber College Inc,North Little Rock,AR,2284200.0,,,,-92.254171,34.760085
North Arkansas College,Harrison,AR,1226100.0,,,11751.0,-93.08844,36.219909
Northwest Technical Institute,Springdale,AR,2073700.0,,,18248.0,-94.115346,36.178032
Ouachita Baptist University,Arkadelphia,AR,110200.0,0.6177,1203.0,40200.0,-93.052471,34.126093
Arkansas State University Three Rivers,Malvern,AR,997600.0,,,12436.0,-92.821416,34.378745
Ozarka College,Melbourne,AR,2087000.0,,,11345.0,-91.896355,36.053031
University of the Ozarks,Clarksville,AR,109400.0,0.559,1070.0,34832.0,-93.467221,35.476278
University of Arkansas Community College-Morrilton,Morrilton,AR,524500.0,1.0,,13510.0,-92.728507,35.172136
Philander Smith College,Little Rock,AR,110300.0,,,26178.0,-92.283015,34.737131
Phillips Community College of the University of Arkansas,Helena,AR,110400.0,,,10475.0,-90.616884,34.546155
Southeast Arkansas College,Pine Bluff,AR,570700.0,,,12716.0,-92.025936,34.210309
Professional Cosmetology Education Center,El Dorado,AR,2202400.0,,,,-92.664101,33.216032
University of Arkansas-Pulaski Technical College,North Little Rock,AR,2075300.0,,,18410.0,-92.299184,34.782783
University of Arkansas Hope-Texarkana,Hope,AR,573200.0,,,12374.0,-93.596762,33.641665
University of Arkansas Community College Rich Mountain,Mena,AR,2111100.0,,,12152.0,-94.219799,34.591449
Paul Mitchell the School-Arkansas,Fayetteville,AR,792100.0,,,,-94.153892,36.126373
Searcy Beauty College,Searcy,AR,2569600.0,,,,-91.735135,35.239148
Shorter College,N Little Rock,AR,110500.0,,,19113.0,-92.261331,34.75933
Williams Baptist University,Walnut Ridge,AR,110600.0,0.693,1088.0,30063.0,-90.940277,36.125676
South Arkansas Community College,El Dorado,AR,2074600.0,,,12251.0,-92.666087,33.209446
Southern Arkansas University Main Campus,Magnolia,AR,110700.0,0.6853,1120.0,23044.0,-93.235922,33.291618
Southern Arkansas University Tech,Camden,AR,773800.0,,,19443.0,-92.721629,33.628367
Velvatex College of Beauty Culture,Little Rock,AR,3214300.0,,,,-92.289597,34.735685
University of Arkansas-Fort Smith,Fort Smith,AR,111000.0,,,17288.0,-94.373729,35.384184
Academy of Art University,San Francisco,CA,753100.0,,,43976.0,-122.400578,37.787943
Academy of Chinese Culture and Health Sciences,Oakland,CA,3288300.0,,,,-122.269839,37.805972
College of Alameda,Alameda,CA,672000.0,,,17384.0,-122.279303,37.781017
Allan Hancock College,Santa Maria,CA,111100.0,,,10701.0,-120.421144,34.943716
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,746501.0,0.6913,,52029.0,-118.343701,34.095378
Berkeley School of Theology,Berkeley,CA,112000.0,,,,-122.256149,37.865252
American Film Institute Conservatory,Los Angeles,CA,2222000.0,,,,-118.310018,34.10767
American Beauty College,West Covina,CA,1307400.0,,,,-117.936959,34.069367
American Career College-Los Angeles,Los Angeles,CA,2241800.0,,,,-118.292481,34.079323
American Conservatory Theater,San Francisco,CA,2099200.0,,,,-122.410265,37.786923
American River College,Sacramento,CA,123200.0,,,12243.0,-121.349672,38.65085
